,Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7,Season 8
missandei,[],[],"[4, 5, 6]","[0, 5, 13]","[0, 4, 26]","[0, 25, 26]","[0, 2, 26]",[]
moles town madam,[],[],[],[2],[],[],[],[]
moles town whore,[],[],[],"[0, 5, 14]",[],[],[],[]
mord,"[0, 23]",[],[],[],[],[],[],[]
mordane,"[0, 19]",[],[],[],[],[],[],[]
morgan,[],[],[],[13],[],[],[],[]
morgans friend,[],[],[],[12],[],[],[],[]
mossador,[],[],[],[],[5],[],[],[]
mountain,[],[7],[],[23],[],[],[],[]
musician,[],[],[],[0],[],[],[],[]
mycah,[1],[],[],[],[],[],[],[]
myranda,[],[],[25],[25],"[0, 22, 28]",[],[],[]
myrcella,[],[],[],[],"[0, 9, 13]",[],[],[]
nights watch,[],[],[],"[3, 22]",[],[],[],[]
nights watcher,"[0, 17]",[],[],[],[],[],[],[]
nights watchman,[],[],[],[],[],[20],[],[]
nora,[],[],[],[],[],[],[],"[3, 22]"
northman,[],[],[],[],[],[],[],"[0, 20]"
nymeria,[],[],[],[],"[2, 7, 27]",[7],[],[]
obara,[],[],[],[],[],[19],[],[]
oberyn martell,[],[],[],"[0, 20, 23]",[],[],[],[]
officer,[],[],[],[0],[],[],[],[]
old man,[],[],[1],[],[12],[],[],[]
olenna tyrell,[],[],"[2, 3, 20]","[1, 20, 26]","[5, 12]","[3, 7, 14]",[],[]
olly,[],[],[],"[12, 22]","[0, 18, 24]",[],[],[]
olyvar,[],[],[],"[2, 12]",[6],[],[],[]
orell,[],[],"[0, 15, 23]",[],[],[],[],[]
osha,"[2, 12, 19]","[0, 2, 20]","[0, 3, 14]",[],[],[19],[],[]
othell yarwyck,[0],[],[],[],[],[],[],[]
petyr baelish,"[3, 11, 29]","[0, 8, 22]","[1, 8, 26]",[0],"[11, 12, 17]","[0, 5, 8]","[8, 25]",[]
podrick,[],[2],"[2, 3, 5]","[0, 2, 18]","[8, 10, 19]","[0, 22]",[8],"[13, 28]"
polliver,[],[6],[],"[0, 6, 24]",[],[],[],[]
populace,[3],[],[],[],[],[],[],[]
priest,[],[],[],[],[5],[],[],[]
priestess,[],[],[],[],[0],[],[],[]
prisoner,[],"[7, 23, 28]",[],[],[],[],[],[]
prostitute,[],"[0, 20]",[],[],[3],[],[],[]
pyat pree,[],"[0, 4, 9]",[],[],[],[],[],[]
pycelle,[],"[0, 5, 28]","[16, 23]","[5, 7, 10]",[5],[],[],[]
pypar,"[2, 18]",[],[],"[2, 3]",[],[],[],[]
qhorin,[],"[0, 13, 15]",[],[],[],[],[],[]
qotho,[4],[],[],[],[],[],[],[]
quaith,[],"[10, 19]",[],[],[],[],[],[]
quick,[],[],[],[],[26],[],[],[]
quorin,[],[0],[],[],[],[],[],[]
qyburn,[],[],"[0, 3, 24]",[22],"[5, 10, 26]",[5],"[2, 3, 5]","[4, 5]"
rakharo,"[4, 15, 23]",[4],[],[],[],[],[],[]
ralf,[],[],[],"[0, 1, 28]",[],[],[],[]
ramsay bolton,[],[],"[0, 7, 9]","[0, 8, 11]","[2, 5, 25]","[2, 14, 22]",[],[]
randyll,[],[],[],[],[],"[0, 12, 18]","[0, 1, 26]",[]
rast,[0],[],"[9, 19, 28]",[17],[],[],[],[]
ray,[],[],[],[],[],"[0, 3, 20]",[],[]
reginald,[],[11],[],[],[],[],[],[]
renly baratheon,"[0, 15, 27]","[8, 11, 20]",[],[],[],[],[],[]
rennick,[],"[0, 6]",[],[],[],[],[],[]
rickard karstark,[],[1],"[3, 11, 29]",[],[],[],[],[]
rickon,[],"[1, 17, 19]","[19, 21]",[],[],[],[],[]
rider,[],[],[],[],[1],"[0, 13]",[],[]
robb stark,"[0, 1, 7]","[0, 2, 3]","[0, 26, 29]",[],[],[],[],[]
robert baratheon,"[0, 2, 11]",[],[],[],[],"[0, 11]",[0],[]
robin arryn,[19],[],[],"[3, 21]",[],[17],[],[]
rodrik cassel,[27],[19],[],[],[],[],[],[]
roose bolton,[],[1],"[0, 2, 11]","[0, 12, 19]","[0, 6, 19]",[],[],[]
rorge,[],[27],[],[],[],[],[],[]
ros,"[0, 2, 12]","[0, 7, 28]","[0, 2]",[],[],[],[],[]
saan,[],"[7, 26]",[],[],[],[],[],[]
salladhor,[],[],[7],[],[],[],[],[]
sallador,[],[],[],[23],[],[],[],[]
sam tarly,"[0, 4, 17]","[0, 6, 12]","[0, 4, 10]","[0, 11, 12]","[0, 7, 15]","[0, 14, 17]","[0, 18, 20]","[0, 12, 14]"
sandor clegane,"[18, 19]","[2, 26, 29]","[0, 3, 19]","[0, 18, 20]",[],"[0, 6, 12]","[0, 2, 17]","[0, 12, 17]"
sansa stark,"[0, 5, 14]","[6, 7, 22]","[16, 18, 23]","[3, 17, 18]","[12, 22, 28]","[0, 6, 28]","[0, 8, 16]","[4, 8, 9]"
selyse,[],[],"[0, 13, 22]","[0, 19, 27]","[0, 2, 22]",[],[],[]
septa mordane,"[4, 12, 19]",[],[],[],[],[],[],[]
septon,[],[],[0],[2],[],[],[],[]
ser barristan,[],[],[],"[5, 18]",[],[],[],[]
ser dontos,[],"[5, 13]",[],"[5, 10, 20]",[],[],[],[]
ser jorah,[],[],[],"[0, 9, 22]",[],[],[],[]
ser vance,[],[],[],[9],[],[],[],[]
shae,"[0, 12, 24]","[0, 7, 12]","[0, 18, 22]","[0, 2, 19]",[],[],[],[]
shireen,[],[],"[0, 18]","[0, 7, 13]","[4, 6, 15]",[],[],[]
silk king,[],[5],[],[],[],[],[],[]
sissy,[],[],[],[15],[],[],[],[]
slaver,[],[],[],[],[9],[],[],[]
smalljon,[],[],[],[],[],[14],[],[]
soldier,[0],"[0, 18, 23]",[28],[],[0],[],"[1, 2]","[0, 3, 12]"
sparrow,[],[],[],[],"[7, 13, 22]","[0, 2, 21]",[],[]
spice king,[],"[4, 10, 19]",[],[],[],[],[],[]
stable boy,"[0, 26]",[],[],[],[],[],[],[]
stannis baratheon,[],"[0, 6, 7]","[5, 18, 27]","[0, 9, 10]","[0, 6, 11]",[],[],[]
street urchin,[16],[],[],[],[],[],[],[]
strong,[],[],[],[],[26],[],[],[]
styr,[],[],[],[25],[],[],[],[]
survivor,[],[],[],[],[1],[],[],[]
syrio forel,"[2, 7, 23]",[],[],[],[],[],[],[]
talisa,[],"[0, 5, 12]","[0, 7, 28]",[],[],[],[],[]
tanner,[],[],[],[0],[],[],[],[]
tansy,[],[],[],[22],[],[],[],[]
theon greyjoy,"[0, 12, 19]","[0, 11, 23]","[0, 15, 23]","[2, 6, 7]","[2, 21, 28]","[0, 2, 26]","[6, 26, 28]","[3, 4, 26]"
thin man,[],[],[],[],[3],[],[],[]
thoros,[],[],"[0, 1, 6]",[],[],[3],"[0, 2, 18]",[]
threeeyed raven,[],[],[],[],[],"[0, 6, 22]",[],[]
tickler,[],[0],[],[],[],[],[],[]
tobho mott,"[3, 5]",[],[],[],[],[],[],[]
tommen lannister,[],[3],[],"[0, 3, 18]","[6, 23, 26]","[0, 1, 2]",[],[]
tormund,[],[],"[0, 3, 18]","[0, 6, 9]","[0, 1, 6]","[19, 23, 25]","[3, 18, 26]","[18, 23]"
torturer,[],[],[28],[],[],[],[],[]
trystane,[],[],[],[],"[2, 25, 26]",[19],[],[]
tycho,[],[],[],"[17, 19]",[],[],"[4, 5]",[]
tyene,[],[],[],[],"[0, 20, 23]",[],[],[]
tyrion lannister,"[0, 5, 20]","[0, 10, 26]","[0, 8, 20]","[0, 12, 17]","[0, 10, 15]","[0, 4, 26]","[4, 6, 17]","[0, 5, 26]"
tywin lannister,"[7, 12]","[0, 16, 24]","[0, 8, 18]","[0, 10, 12]",[],[],[],[]
umber,[],[],[],[],[],[],[],"[0, 26]"
unsullied,[],[],[],[],[],[],[],[18]
vale knight,[],[],[],[],[],[13],[],[]
varys,"[5, 7, 16]","[0, 8, 16]","[0, 8]","[0, 10, 16]","[0, 2, 18]","[2, 15, 29]","[5, 6, 26]","[0, 15, 20]"
violet,[],[],"[2, 6, 25]",[],[],[],[],[]
viserys,"[4, 12, 25]",[],[],[],[],[],[],[]
viserys targaryen,"[2, 9, 25]",[],[],[],[],[],[],[]
waif,[],[],[],[],[],"[0, 7]",[],[]
waitress,[],[],[],[],[24],[],[],[]
walda,[],[],[],[],[28],[],[],[]
walder frey,"[1, 29]",[],"[0, 7, 26]",[],[],"[0, 12, 29]",[0],[]
wildling,[0],[0],[],[],[],[],[],[]
will,"[0, 15, 29]",[],[],[],[],[],[],[]
wine merchant,"[8, 26]",[],[],[],[],[],[],[]
wolkan,[],[],[],[],[],[],[8],[]
woman,[],"[0, 5]","[12, 24]",[],"[26, 28]",[],[],"[20, 22, 27]"
wounded soldier,[],[5],[],[],[],[],[],[]
wun wun,[],[],[],[],[],[0],[],[]
xaro,[],"[13, 19, 23]",[],[],[],[],[],[]
yara greyjoy,[],[0],[],"[7, 18, 21]",[],"[17, 23, 25]",[10],[12]
yarwick,[],[],[],[18],[],[],[],[]
yezzan,[],[],[],[],[],[23],[],[]
ygritte,[],"[0, 6, 17]","[0, 2, 7]","[0, 22]",[],[],[],[]
yohn royce,[],[],[],[],[],[8],"[0, 5]",[]
yoren,"[0, 2, 22]",[],[],[],[],[],[],[]
young man,[],[],[],[],[],[15],[],[]
